,County Code,District Code,School Code,StudentGrowth,Expectations,LowGrowth,TypicalGrowth,HighGrowth
364,1,3720,57,Math,Exceeded,6,9,3
365,1,4180,55,ELA,Did Not Yet Meet,8,7,6
366,1,4180,55,ELA,Partially Met,10,8,11
367,1,4180,55,ELA,Approached,10,11,12
368,1,4180,55,ELA,Met,6,6,5
369,1,4180,55,ELA,Exceeded,1,1,0
370,1,4180,55,Math,Did Not Yet Meet,3,6,8
371,1,4180,55,Math,Partially Met,11,16,14
372,1,4180,55,Math,Approached,12,12,7
373,1,4180,55,Math,Met,5,4,2
374,1,4180,55,Math,Exceeded,0,0,0
375,1,4180,60,ELA,Did Not Yet Meet,12,12,7
376,1,4180,60,ELA,Partially Met,3,7,13
377,1,4180,60,ELA,Approached,0,12,13
378,1,4180,60,ELA,Met,3,8,8
379,1,4180,60,ELA,Exceeded,0,0,2
380,1,4180,60,Math,Did Not Yet Meet,0,5,8
381,1,4180,60,Math,Partially Met,8,8,13
382,1,4180,60,Math,Approached,6,13,13
383,1,4180,60,Math,Met,5,5,13
384,1,4180,60,Math,Exceeded,0,2,2
385,1,4180,80,ELA,Did Not Yet Meet,5,3,7
386,1,4180,80,ELA,Partially Met,8,4,9
387,1,4180,80,ELA,Approached,9,10,13
388,1,4180,80,ELA,Met,8,9,9
389,1,4180,80,ELA,Exceeded,3,2,1
390,1,4180,80,Math,Did Not Yet Meet,2,4,3
391,1,4180,80,Math,Partially Met,13,7,8
392,1,4180,80,Math,Approached,13,11,10
393,1,4180,80,Math,Met,12,9,4
394,1,4180,80,Math,Exceeded,2,1,2
395,1,4180,85,ELA,Did Not Yet Meet,9,9,3
396,1,4180,85,ELA,Partially Met,4,16,4
397,1,4180,85,ELA,Approached,16,9,10
398,1,4180,85,ELA,Met,9,4,1
399,1,4180,85,ELA,Exceeded,3,0,0
400,1,4180,85,Math,Did Not Yet Meet,4,9,0
401,1,4180,85,Math,Partially Met,18,12,6
402,1,4180,85,Math,Approached,15,7,6
403,1,4180,85,Math,Met,12,4,6
404,1,4180,95,ELA,Did Not Yet Meet,3,6,5
405,1,4180,95,ELA,Partially Met,6,8,11
406,1,4180,95,ELA,Approached,9,9,9
407,1,4180,95,ELA,Met,15,9,7
408,1,4180,95,ELA,Exceeded,1,0,0
409,1,4180,95,Math,Did Not Yet Meet,1,2,1
410,1,4180,95,Math,Partially Met,15,13,8
411,1,4180,95,Math,Approached,18,10,8
412,1,4180,95,Math,Met,6,8,6
413,1,4180,95,Math,Exceeded,1,1,0
414,1,4240,50,ELA,Did Not Yet Meet,0,0,2
415,1,4240,50,ELA,Partially Met,2,5,9
416,1,4240,50,ELA,Approached,12,7,11
417,1,4240,50,ELA,Met,9,19,14
418,1,4240,50,ELA,Exceeded,0,4,7
419,1,4240,50,Math,Did Not Yet Meet,0,0,2
420,1,4240,50,Math,Partially Met,2,2,8
421,1,4240,50,Math,Approached,15,13,15
422,1,4240,50,Math,Met,10,13,17
423,1,4240,50,Math,Exceeded,0,2,2
424,1,4800,50,ELA,Did Not Yet Meet,9,3,8
425,1,4800,50,ELA,Partially Met,5,7,5
426,1,4800,50,ELA,Approached,13,7,7
427,1,4800,50,ELA,Met,17,8,8
428,1,4800,50,ELA,Exceeded,0,1,0
429,1,4800,50,Math,Did Not Yet Meet,6,3,8
430,1,4800,50,Math,Partially Met,6,9,13
431,1,4800,50,Math,Approached,11,8,15
432,1,4800,50,Math,Met,8,4,7
433,1,4800,55,ELA,Did Not Yet Meet,6,5,4
434,1,4800,55,ELA,Partially Met,14,5,8
435,1,4800,55,ELA,Approached,7,7,10
436,1,4800,55,ELA,Met,13,8,9
437,1,4800,55,ELA,Exceeded,2,2,1
438,1,4800,55,Math,Did Not Yet Meet,4,4,4
439,1,4800,55,Math,Partially Met,13,10,16
440,1,4800,55,Math,Approached,11,8,4
441,1,4800,55,Math,Met,11,4,8
442,1,4800,55,Math,Exceeded,0,1,1
443,1,5350,40,ELA,Did Not Yet Meet,1,2,2
444,1,5350,40,ELA,Partially Met,4,6,7
445,1,5350,40,ELA,Approached,4,9,15
446,1,5350,40,ELA,Met,7,12,21
447,1,5350,40,ELA,Exceeded,3,2,2
448,1,5350,40,Math,Did Not Yet Meet,0,2,3
449,1,5350,40,Math,Partially Met,2,7,5
