COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,StudentGrowth,Expectations,LowGrowth,TypicalGrowth,HighGrowth
03,0890,050,ELA,Met,4,16,30
03,0890,050,ELA,Exceeded,0,2,2
03,0890,050,Math,Did Not Yet Meet,0,0,1
03,0890,050,Math,Partially Met,1,5,12
03,0890,050,Math,Approached,7,12,32
03,0890,050,Math,Met,7,9,9
03,0890,050,Math,Exceeded,2,2,2
03,0890,060,ELA,Did Not Yet Meet,0,0,2
03,0890,060,ELA,Partially Met,4,5,5
03,0890,060,ELA,Approached,4,10,16
03,0890,060,ELA,Met,13,10,17
03,0890,060,ELA,Exceeded,8,3,2
03,0890,060,Math,Did Not Yet Meet,0,1,1
03,0890,060,Math,Partially Met,6,6,5
03,0890,060,Math,Approached,7,12,10
03,0890,060,Math,Met,11,15,16
03,0890,060,Math,Exceeded,5,3,2
03,0890,070,ELA,Partially Met,3,5,8
03,0890,070,ELA,Approached,3,7,17
03,0890,070,ELA,Met,13,10,22
03,0890,070,ELA,Exceeded,3,5,3
